           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
      BEGINNING          DRIFT              0       0.793472     -0.0803872    3.91952e-17       0.070541     -0.0523731    2.16097e-17    9.02754e-05   -8.74068e-05   -7.86121e-07    1.38413e-05
           BPM1            BPM              0       0.793472     -0.0803872    3.91952e-17       0.070541     -0.0523731    2.16097e-17    9.02754e-05   -8.74068e-05   -7.86121e-07    1.38413e-05
            LBT            LBT              0       0.793472     -0.0803872    3.91952e-17       0.070541     -0.0523731    2.16097e-17              0              0              0              0
            IP6       BEAMBEAM              0       0.793472      0.0653144    3.91952e-17       0.070541      0.0916494    2.16097e-17              0              0              0              0
           ILBT           ILBT              0       0.793472      0.0653144    3.91952e-17       0.070541      0.0916494    2.16097e-17              0              0              0              0
       PB_SOL_R          PATCH              0       0.793968      0.0653144    -2.6457e-11       0.070541      0.0916494   -2.97595e-10    9.03036e-05     -0.0250848   -7.86121e-07    1.38413e-05
  STAR_DETECT_R          DRIFT              2        5.60144        -2.4668       0.199084        56.9205       -28.5077       0.258965   -8.46131e-05     -0.0250848     2.6905e-05    1.38413e-05
       PE_SOL_R          PATCH        1.99938        5.59835       -2.46601       0.199066        56.8848       -28.4988       0.258963   -8.45585e-05     -0.0250848    2.68963e-05    1.38413e-05
   PE_SOL_R_ROT          PATCH        1.99938        5.59486       -2.46601       0.199066        56.8848       -28.4988       0.258963   -8.45321e-05   -8.74068e-05    2.68963e-05    1.38413e-05
         O1PR#1          DRIFT        5.29938        35.6535       -6.64269         0.2366        400.652        -75.673       0.262443   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
         VKICK2         KICKER        5.29938        35.6535       -6.64269         0.2366        400.652        -75.673       0.262443   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
           BPM4            BPM        5.29938        35.6535       -6.64269         0.2366        400.652        -75.673       0.262443   -0.000372964   -8.74068e-05    7.25723e-05    1.38413e-05
          Q1APR           MULT        7.09938        78.7987       -19.4062       0.242247         572.78       -11.3599       0.263015   -0.000587807    -0.00015656    8.70028e-05    1.83724e-06
         O1PR#2          DRIFT        7.59938        99.4028       -21.8021       0.243146        584.197       -11.4734       0.263152   -0.000666084    -0.00015656    8.79214e-05    1.83724e-06
          Q1BPR           MULT        8.99938        193.877       -49.2449       0.244795        524.729        51.6574       0.263544   -0.000945224   -0.000247534    8.34768e-05   -8.10175e-06
         O1PR#3          DRIFT        10.4994        369.767        -68.015       0.245686        381.203        44.0264       0.264078    -0.00131651   -0.000247534    7.13242e-05   -8.10175e-06
         HKICK2         KICKER        10.4994        369.767        -68.015       0.245686        381.203        44.0264       0.264078    -0.00131651   -0.000247534    7.13242e-05   -8.10175e-06
           Q2PR           MULT        14.9994         804.68       -9.26579       0.246876        204.188        2.60755       0.266899    -0.00196396    -2.6241e-05    5.28636e-05   -4.94205e-07
         O1PR#4          DRIFT        37.9994        1288.01       -11.7483       0.250472        104.447        1.72903        0.29207    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
         HKICK1         KICKER        37.9994        1288.01       -11.7483       0.250472        104.447        1.72903        0.29207    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
         VKICK1         KICKER        37.9994        1288.01       -11.7483       0.250472        104.447        1.72903        0.29207    -0.00256751    -2.6241e-05     4.1497e-05   -4.94205e-07
           Q3PR           MULT        39.4994         1305.8     -0.0598317       0.250656        100.721       0.766085       0.294403    -0.00258941   -2.91885e-06    4.10355e-05   -1.21795e-07
         O1PR#5          DRIFT        39.9994        1305.86      -0.060216       0.250717        99.9592       0.758207       0.295196    -0.00259087   -2.91885e-06    4.09746e-05   -1.21795e-07
           BPM2            BPM        39.9994        1305.86      -0.060216       0.250717        99.9592       0.758207       0.295196    -0.00259087   -2.91885e-06    4.09746e-05   -1.21795e-07
        DRIFTCC          DRIFT        47.5994        1306.82      -0.066057       0.251643        89.3445       0.638467       0.308009              0              0              0              0
        CCMULT1         CCMULT        47.5994        1306.82      -0.066057       0.251643        89.3445       0.638467       0.308009              0              0              0              0
        DRIFTCC          DRIFT        55.1994        1307.87     -0.0718981       0.252568        80.5498       0.518728       0.322287              0              0              0              0
            OFL          DRIFT        55.6994        1307.94     -0.0722824       0.252629         80.035        0.51085       0.323278    -0.00263669   -2.91885e-06    3.90624e-05   -1.21795e-07
           Q4PR           MULT        57.1994        1233.06        49.0115       0.252815        83.2556       -2.69964       0.326231    -0.00256423    9.90687e-05    4.00269e-05    1.41405e-06
           O2PR          DRIFT        73.8687        140.623        16.5246       0.259188        200.919       -4.35905       0.346801   -0.000912853    9.90687e-05     6.3598e-05    1.41405e-06
           B1PR      SBENDMULT        77.5687        45.0241        9.31386       0.266591        234.476       -4.70913       0.349514     -0.0319959     -0.0169013    6.88208e-05    1.40888e-06
           O2FL          DRIFT        78.5687        28.3453        7.36495       0.271047        243.993       -4.80797        0.35018     -0.0488973     -0.0169013    7.02297e-05    1.40888e-06
           Q5PR           MULT        80.0687        12.8446        3.43953       0.283862        225.212        16.7483       0.351175     -0.0782464     -0.0226795    6.75078e-05   -4.99623e-06
            OFL          DRIFT        80.5687        9.65482        2.94009        0.29101        208.776        16.1234       0.351542     -0.0895861     -0.0226795    6.50097e-05   -4.99623e-06
           O3PR          DRIFT        87.3437        15.6661       -3.82737       0.698157        47.6789        7.65487       0.362358      -0.243239     -0.0226795    3.11606e-05   -4.99623e-06
    S_CQT06Y4#1          DRIFT        87.7681        19.0952       -4.25136       0.702063        41.4058        7.12431       0.363878      -0.252865     -0.0226795    2.90399e-05   -4.99623e-06
         TQ4_PR           MULT        88.5181        25.3477        -4.0033       0.707463        32.4492        4.93479       0.367151      -0.266079     -0.0124712    2.57028e-05   -3.92465e-06
    S_CQT06Y4#2          DRIFT        88.6482        26.4005       -4.09067       0.708263        31.1786        4.83316       0.367802      -0.267701     -0.0124712    2.51923e-05   -3.92465e-06
         QD4_PR           MULT        90.4602        32.6981       0.992177       0.717571        23.5815       -0.20432        0.37902        -0.2476      0.0340666    2.18176e-05    1.01283e-07
    S_CQT06Y4#3          DRIFT        91.7639        30.2143       0.913057       0.724174        24.1893      -0.261913       0.387712      -0.203188      0.0340666    2.19496e-05    1.01283e-07
 O_ROTATOR_IP6R          DRIFT        103.888        16.9953       0.177284       0.814021        37.0332      -0.797494       0.454088       0.209824      0.0340666    2.31775e-05    1.01283e-07
    S_CRT06Y5#1          DRIFT        104.311        16.8561       0.151583       0.818003        37.7166      -0.816202       0.455891       0.224251      0.0340666    2.32204e-05    1.01283e-07
         TQ5_PR           QUAD        105.061        16.6628       0.106067       0.825128        38.9657      -0.849335       0.459005       0.249801      0.0340666    2.32964e-05    1.01283e-07
    S_CRT06Y5#2          DRIFT        105.192        16.6361      0.0981134       0.826381        39.1891      -0.855124       0.459539       0.254265      0.0340666    2.33096e-05    1.01283e-07
         QF5_PR           QUAD        106.302        18.1598       -1.51521       0.836718        37.3137        2.48926       0.464085       0.305218      0.0584869     2.2291e-05   -1.92176e-06
    S_CRT06Y5#3          DRIFT        107.607        22.4224         -1.752       0.847015        31.1467        2.23764       0.470177       0.381524      0.0584869    1.97837e-05   -1.92176e-06
            OFL          DRIFT        108.107        24.2197       -1.84275       0.850431        28.9573        2.14121       0.472827       0.410767      0.0584869    1.88229e-05   -1.92176e-06
           B2PR          SBEND        111.807        40.3407       -2.51427       0.869314        15.7523        1.42767       0.500539       0.633966      0.0621614    1.17123e-05   -1.92182e-06
            OFL          DRIFT        112.307        42.9003       -2.60502       0.871227        14.3729        1.33123       0.505828       0.665047      0.0621614    1.07514e-05   -1.92182e-06
    S_CRT06Y6#1          DRIFT         112.73        45.1392       -2.68188       0.872759          13.28        1.24955       0.510708       0.691371      0.0621614     9.9375e-06   -1.92182e-06
         TQ6_PR           QUAD         113.48        48.5632       -1.86102       0.875302        11.6926       0.877279       0.520316       0.732797      0.0481711    8.56583e-06    -1.7405e-06
    S_CRT06Y6#2          DRIFT        113.611        49.0526       -1.87306       0.875729        11.4653       0.857445       0.522118       0.739109      0.0481711    8.33774e-06    -1.7405e-06
         QD6_PR           QUAD        114.721        48.3714        2.46645       0.879297        10.7952       -0.23408       0.538287       0.755555     -0.0187824    6.78843e-06   -1.07397e-06
    S_CRT06Y6#3          DRIFT        116.026        42.1849         2.2754       0.883894        11.5723      -0.361557       0.556907       0.731051     -0.0187824    5.38728e-06   -1.07397e-06
         OD5IFL          DRIFT        117.811        34.5265        2.01394       0.891343        13.1749      -0.536012       0.580002       0.697516     -0.0187824    3.46978e-06   -1.07397e-06
         DH5_PR          SBEND        124.727         13.659        1.00251        0.94292        25.2626       -1.21177       0.641883       0.665948     0.00965415   -3.95773e-06   -1.07397e-06
         OD5IFL          DRIFT        126.513        10.5471       0.740424       0.966684        29.9011       -1.38622        0.65223       0.683185     0.00965415   -5.87523e-06   -1.07397e-06
     S_CQ06Y7#1          DRIFT        127.817        8.86494        0.54891       0.988223        33.6846        -1.5137       0.658774        0.69578     0.00965415   -7.27638e-06   -1.07397e-06
         QF7_PR           QUAD        128.747        8.48295       -0.12974        1.00549        34.4581        0.69865       0.663074       0.726151      0.0560095   -8.04424e-06   -5.69413e-07
     S_CQ06Y7#2          DRIFT        129.241        8.64024      -0.188908        1.01468        33.7789       0.677333       0.665377       0.753799      0.0560095   -8.32531e-06   -5.69413e-07
          ODSFL          DRIFT        129.758        8.86775      -0.250914        1.02409        33.0897       0.654993        0.66784       0.782771      0.0560095   -8.61985e-06   -5.69413e-07
         DH6_PR          SBEND        132.708        11.3891      -0.603901        1.07149        29.6017       0.527619       0.682861       0.965838      0.0681263   -1.02993e-05   -5.69413e-07
          ODSFL          DRIFT        133.225        12.0459      -0.665885        1.07852        29.0674        0.50528       0.685667        1.00108      0.0681263   -1.05938e-05   -5.69413e-07
     S_CQ06Y8#1          DRIFT        133.718        12.7323      -0.725017        1.08487        28.5792       0.483968       0.688393         1.0347      0.0681263   -1.08748e-05   -5.69413e-07
         QD8_PR           QUAD        134.828        15.1155       -1.45375        1.09771        26.3347        1.50797       0.694786        1.13401       0.111476   -1.12609e-05   -1.23654e-07
     S_CQ06Y8#2          DRIFT        136.133        19.2589       -1.72245        1.10989        22.6119        1.34579       0.703298        1.27943       0.111476   -1.14222e-05   -1.23654e-07
          ODSFL          DRIFT         136.65         21.096         -1.829        1.11398        21.2529        1.28148       0.707054         1.3371       0.111476   -1.14862e-05   -1.23654e-07
        YI6_DH9          SBEND          139.6        33.6725       -2.43484        1.13162        14.7751       0.914803       0.733668        1.68371       0.123561   -1.18509e-05   -1.23654e-07
          ODSFL          DRIFT        140.117        36.2466       -2.54128        1.13398        13.8619       0.850494       0.739422        1.74763       0.123561   -1.19149e-05   -1.23654e-07
    S_CQB06Y9#1          DRIFT        141.421        43.2271        -2.8097        1.13923        11.8545       0.688312       0.755647        1.90882       0.123561   -1.20762e-05   -1.23654e-07
         QF9_PR           QUAD        142.531         44.258        1.91828        1.14319        11.8356      -0.670622       0.770883        1.93029     -0.0852539   -1.29452e-05   -1.45775e-06
    S_CQB06Y9#2          DRIFT        143.836        39.4326        1.78033        1.14816         13.794      -0.830428       0.787163        1.81907     -0.0852539   -1.48471e-05   -1.45775e-06
           ODFL          DRIFT        144.358        37.6041        1.72517        1.15031        14.6936      -0.894318       0.792995         1.7746     -0.0852539   -1.56074e-05   -1.45775e-06
        YI6_DH8          SBEND        153.798        14.4259        0.72874        1.21672        42.4965       -2.05069       0.854655        1.15231     -0.0465599   -2.93695e-05   -1.45775e-06
S_YI6_DH9_DH10#1          DRIFT        154.815        13.0534       0.620806        1.22852        46.7941       -2.17526       0.858285        1.10496     -0.0465599    -3.0852e-05   -1.45775e-06
       YI6_BV10          DRIFT        154.815        13.0534       0.620806        1.22852        46.7941       -2.17526       0.858285        1.10496     -0.0465599    -3.0852e-05   -1.45775e-06
S_YI6_DH9_DH10#2          DRIFT        155.041         12.778       0.596795        1.23131        47.7846       -2.20297       0.859046        1.09443     -0.0465599   -3.11817e-05   -1.45775e-06
      YI6_SXD10           SEXT        155.791        11.9425       0.517196        1.24098         51.158       -2.29484        0.86146        1.05951     -0.0465599    -3.2275e-05   -1.45768e-06
S_YI6_DH9_DH10#3          DRIFT        155.923        11.8087       0.503287        1.24274        51.7615       -2.31089       0.861866        1.05341     -0.0465599    -3.2466e-05   -1.45768e-06
       YI6_QD10           QUAD        157.033        11.9577      -0.641877        1.25787        51.7562        2.31552       0.865223        1.05336      0.0464798   -3.24661e-05     1.4575e-06
       DRIFT_21          DRIFT        157.578        12.6928      -0.706262        1.26492        49.2677         2.2485       0.866942        1.07871      0.0464798   -3.16714e-05     1.4575e-06
       YI6_TV10         KICKER        157.578        12.6928      -0.706262        1.26492        49.2677         2.2485       0.866942        1.07871      0.0464798   -3.16714e-05     1.4575e-06
       DRIFT_35          DRIFT        159.154        15.2125      -0.892384        1.28301        42.4849        2.05476       0.872426        1.15197      0.0464798   -2.93742e-05     1.4575e-06
