           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
      BEGINNING          DRIFT              0    8.33604e-07   -1.05234e-06              0              0              0              0
            IP6          DRIFT              0    8.33604e-07   -1.05234e-06              0              0              0              0
       PB_SOL_R          PATCH              0    8.33865e-07     -0.0249984              0              0    2.08446e-08              0
  STAR_DETECT_R          DRIFT              2     -0.0500117     -0.0249984              0              0   -0.000625198              0
       PE_SOL_R          PATCH        1.99938    -1.2715e-06     -0.0249984              0              0   -0.000625003              0
   PE_SOL_R_ROT          PATCH        1.99938   -1.27111e-06   -1.05234e-06              0              0   -0.000624971              0
         O1PR#1          DRIFT        5.29938   -4.74383e-06   -1.05234e-06              0              0   -0.000624971              0
          Q1APR           QUAD        7.09938   -7.36484e-06   -1.92388e-06              0              0   -0.000624971              0
         O1PR#2          DRIFT        7.59938   -8.32678e-06   -1.92388e-06              0              0   -0.000624971              0
          Q1BPR           QUAD        8.99938   -1.17686e-05   -3.05846e-06              0              0   -0.000624971              0
         O1PR#3          DRIFT        10.4994   -1.63563e-05   -3.05846e-06              0              0   -0.000624971              0
           Q2PR           QUAD        14.9994   -2.43314e-05   -3.13762e-07              0              0   -0.000624971              0
         O1PR#4          DRIFT        37.9994   -3.15479e-05   -3.13762e-07              0              0   -0.000624971              0
           Q3PR           QUAD        39.4994    -3.1804e-05   -2.72535e-08              0              0   -0.000624971              0
         O1PR#5          DRIFT        39.9994   -3.18176e-05   -2.72535e-08              0              0   -0.000624971              0
    O_CRAB_IP6R          DRIFT        55.1994   -3.22319e-05   -2.72535e-08              0              0   -0.000624971              0
            OFL          DRIFT        55.6994   -3.22455e-05   -2.72535e-08              0              0   -0.000624971              0
           Q4PR           QUAD        57.1994   -3.13467e-05    1.21976e-06              0              0   -0.000624971              0
           O2PR          DRIFT        73.8687   -1.10142e-05    1.21976e-06              0              0   -0.000624971              0
           B1PR          SBEND        77.5687   -6.50126e-06    1.21976e-06              0              0    -0.00062512              0
           O2FL          DRIFT        78.5687    -5.2815e-06    1.21976e-06              0              0    -0.00062512              0
           Q5PR           QUAD        80.0687   -3.77788e-06     8.0805e-07              0              0    -0.00062512              0
            OFL          DRIFT        80.5687   -3.37386e-06     8.0805e-07              0              0    -0.00062512              0
           O3PR          DRIFT        87.3437    2.10066e-06     8.0805e-07              0              0    -0.00062512              0
    S_CQT06Y4#1          DRIFT        87.7681    2.44364e-06     8.0805e-07              0              0    -0.00062512              0
         TQ4_PR           QUAD        88.5181    3.01083e-06    7.00754e-07              0              0    -0.00062512              0
    S_CQT06Y4#2          DRIFT        88.6482    3.10198e-06    7.00754e-07              0              0    -0.00062512              0
         QD4_PR           QUAD        90.4602    3.82428e-06    7.52311e-08              0              0    -0.00062512              0
    S_CQT06Y4#3          DRIFT        91.7639    3.92236e-06    7.52311e-08              0              0    -0.00062512              0
 O_ROTATOR_IP6R          DRIFT        103.888    4.83444e-06    7.52311e-08              0              0    -0.00062512              0
    S_CRT06Y5#1          DRIFT        104.311     4.8663e-06    7.52311e-08              0              0    -0.00062512              0
         TQ5_PR           QUAD        105.061    4.92272e-06    7.52311e-08              0              0    -0.00062512              0
    S_CRT06Y5#2          DRIFT        105.192    4.93258e-06    7.52311e-08              0              0    -0.00062512              0
         QF5_PR           QUAD        106.302    5.26034e-06    5.20131e-07              0              0    -0.00062512              0
    S_CRT06Y5#3          DRIFT        107.607    5.93894e-06    5.20131e-07              0              0    -0.00062512              0
            OFL          DRIFT        108.107    6.19901e-06    5.20131e-07              0              0    -0.00062512              0
           B2PR          SBEND        111.807    8.12349e-06    5.20131e-07              0              0   -0.000625146              0
            OFL          DRIFT        112.307    8.38355e-06    5.20131e-07              0              0   -0.000625146              0
    S_CRT06Y6#1          DRIFT         112.73    8.60382e-06    5.20131e-07              0              0   -0.000625146              0
         TQ6_PR           QUAD         113.48    8.92973e-06    3.47891e-07              0              0   -0.000625146              0
    S_CRT06Y6#2          DRIFT        113.611    8.97532e-06    3.47891e-07              0              0   -0.000625146              0
         QD6_PR           QUAD        114.721    8.91619e-06    -4.5356e-07              0              0   -0.000625146              0
    S_CRT06Y6#3          DRIFT        116.026    8.32444e-06    -4.5356e-07              0              0   -0.000625146              0
         OD5IFL          DRIFT        117.811    7.51464e-06    -4.5356e-07              0              0   -0.000625146              0
         DH5_PR          SBEND        124.727    4.37519e-06   -4.54259e-07              0              0   -0.000625316              0
         OD5IFL          DRIFT        126.513    3.56413e-06   -4.54259e-07              0              0   -0.000625316              0
     S_CQ06Y7#1          DRIFT        127.817    2.97148e-06   -4.54259e-07              0              0   -0.000625316              0
         QF7_PR           QUAD        128.747    2.63582e-06   -2.71459e-07              0              0   -0.000625316              0
     S_CQ06Y7#2          DRIFT        129.241    2.50182e-06   -2.71459e-07              0              0   -0.000625316              0
          ODSFL          DRIFT        129.758     2.3614e-06   -2.71459e-07              0              0   -0.000625316              0
