           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
           B2PR          SBEND        111.807    1.17697e-08    6.42214e-10    6.82666e-11   -1.21832e-11   -0.000624971   -1.20766e-11
            OFL          DRIFT        112.307    1.20908e-08    6.42214e-10     6.2175e-11   -1.21832e-11   -0.000624971   -1.20766e-11
    S_CRT06Y6#1          DRIFT         112.73    1.23627e-08    6.42214e-10    5.70156e-11   -1.21832e-11   -0.000624971   -1.20766e-11
         TQ6_PR           QUAD         113.48    1.27523e-08    3.95496e-10    4.82758e-11   -1.11515e-11   -0.000624971   -1.20766e-11
    S_CRT06Y6#2          DRIFT        113.611    1.28042e-08    3.95496e-10    4.68144e-11   -1.11515e-11   -0.000624971   -1.20766e-11
         QD6_PR           QUAD        114.721    1.26098e-08   -7.42922e-10    3.65594e-11   -7.47761e-12   -0.000624971   -1.20766e-11
    S_CRT06Y6#3          DRIFT        116.026    1.16405e-08   -7.42922e-10    2.68037e-11   -7.47761e-12   -0.000624971   -1.20766e-11
         OD5IFL          DRIFT        117.811     1.0314e-08   -7.42922e-10    1.34528e-11   -7.47761e-12   -0.000624971   -1.20766e-11
         DH5_PR          SBEND        124.727    5.17133e-09   -7.44177e-10   -3.82624e-11   -7.47761e-12   -0.000624972   -1.20766e-11
         OD5IFL          DRIFT        126.513    3.84264e-09   -7.44177e-10   -5.16133e-11   -7.47761e-12   -0.000624972   -1.20766e-11
     S_CQ06Y7#1          DRIFT        127.817    2.87174e-09   -7.44177e-10    -6.1369e-11   -7.47761e-12   -0.000624972   -1.20766e-11
         QF7_PR           QUAD        128.747    2.26073e-09   -5.76857e-10   -6.63909e-11    -3.2701e-12   -0.000624972   -1.20766e-11
     S_CQ06Y7#2          DRIFT        129.241    1.97598e-09   -5.76857e-10   -6.80051e-11    -3.2701e-12   -0.000624972   -1.20766e-11
          ODSFL          DRIFT        129.758    1.67759e-09   -5.76857e-10   -6.96966e-11    -3.2701e-12   -0.000624972   -1.20766e-11
         DH6_PR          SBEND        132.708   -2.41016e-11   -5.77045e-10   -7.93415e-11    -3.2701e-12   -0.000624972   -1.20766e-11
          ODSFL          DRIFT        133.225   -3.22597e-10   -5.77045e-10   -8.10331e-11    -3.2701e-12   -0.000624972   -1.20766e-11
     S_CQ06Y8#1          DRIFT        133.718   -6.07362e-10   -5.77045e-10   -8.26468e-11    -3.2701e-12   -0.000624972   -1.20766e-11
         QD8_PR           QUAD        134.828   -1.26622e-09   -6.14495e-10   -8.44161e-11    9.41361e-14   -0.000624972   -1.20766e-11
     S_CQ06Y8#2          DRIFT        136.133   -2.06785e-09   -6.14495e-10   -8.42933e-11    9.41361e-14   -0.000624972   -1.20766e-11
          ODSFL          DRIFT         136.65   -2.38572e-09   -6.14495e-10   -8.42446e-11    9.41361e-14   -0.000624972   -1.20766e-11
        YI6_DH9          SBEND          139.6   -4.19811e-09   -6.14477e-10   -8.39669e-11    9.41361e-14   -0.000624972   -1.20766e-11
          ODSFL          DRIFT        140.117   -4.51597e-09   -6.14477e-10   -8.39182e-11    9.41361e-14   -0.000624972   -1.20766e-11
    S_CQB06Y9#1          DRIFT        141.421   -5.31758e-09   -6.14477e-10   -8.37954e-11    9.41361e-14   -0.000624972   -1.20766e-11
         QF9_PR           QUAD        142.531   -5.67145e-09   -1.67684e-11   -8.87475e-11   -9.10558e-12   -0.000624972   -1.20766e-11
    S_CQB06Y9#2          DRIFT        143.836   -5.69333e-09   -1.67684e-11   -1.00627e-10   -9.10558e-12   -0.000624972   -1.20766e-11
           ODFL          DRIFT        144.358   -5.70207e-09   -1.67684e-11   -1.05377e-10   -9.10558e-12   -0.000624972   -1.20766e-11
        YI6_DH8          SBEND        153.798   -5.85825e-09   -1.63108e-11   -1.91339e-10   -9.10558e-12   -0.000624971   -1.20766e-11
