           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
      BEGINNING          DRIFT              0       0.799448    -0.00253788   -1.98966e-18      0.0716869       0.018713    1.93094e-17    0.000128362   -6.78159e-05              0              0
            IP6          DRIFT              0       0.799448    -0.00253788   -1.98966e-18      0.0716869       0.018713    1.93094e-17    0.000128362   -6.78159e-05              0              0
       PB_SOL_R          PATCH              0       0.799948    -0.00253785   -4.14973e-09      0.0716869      0.0187133   -4.62776e-08    0.000128402     -0.0250652              0              0
  STAR_DETECT_R          DRIFT              2        5.81985       -2.50506       0.189148        55.8494       -27.8989       0.247276   -5.20882e-06     -0.0250652              0              0
       PE_SOL_R          PATCH        1.99938        5.81672       -2.50428        0.18913        55.8145       -27.8901       0.247274   -5.16707e-06     -0.0250652              0              0
   PE_SOL_R_ROT          PATCH        1.99938        5.81308       -2.50428        0.18913        55.8145       -27.8901       0.247274   -5.16545e-06   -6.78159e-05              0              0
         O1PR#1          DRIFT        5.29938        35.9633       -6.63215       0.225778        391.853       -73.9397       0.250826   -0.000225485   -6.78159e-05              0              0
          Q1APR           QUAD        7.09938        79.1006        -19.412       0.231391        559.907       -11.0334       0.251411   -0.000380812   -0.000111474              0              0
         O1PR#2          DRIFT        7.59938        99.7068       -21.8003       0.232287        570.996        -11.143       0.251551   -0.000435587   -0.000111474              0              0
          Q1BPR           QUAD        8.99938        194.195       -49.2571       0.233931        512.688        50.5431       0.251952   -0.000627684   -0.000171521              0              0
         O1PR#3          DRIFT        10.4994        370.089       -68.0057       0.234822        372.274        43.0661       0.252499   -0.000880377   -0.000171521              0              0
           Q2PR           QUAD        14.9994        804.556       -9.19587       0.236011        198.896        2.60989       0.255392    -0.00133084   -2.24989e-05              0              0
         O1PR#4          DRIFT        37.9994        1283.83       -11.6419       0.239613         99.617        1.70658       0.281514    -0.00184109   -2.24989e-05              0              0
           Q3PR           QUAD        39.4994        1301.35     0.00867107       0.239798        95.8958       0.785429       0.283963    -0.00186205   -5.75179e-06              0              0
         O1PR#5          DRIFT        39.9994        1301.35     0.00828682       0.239859        95.1146       0.776998       0.284796    -0.00186491   -5.75179e-06              0              0
    O_CRAB_IP6R          DRIFT        55.1994        1301.27    -0.00339419       0.241718        75.3894       0.520711        0.31352    -0.00195192   -5.75179e-06              0              0
            OFL          DRIFT        55.6994        1301.28    -0.00377844       0.241779        74.8729       0.512281       0.314579    -0.00195479   -5.75179e-06              0              0
           Q4PR           QUAD        57.1994        1226.58        48.8221       0.241966        77.7834       -2.49034       0.317738    -0.00190729    6.99755e-05              0              0
           O2PR          DRIFT        73.8687        139.121        16.4154        0.24839        186.535       -4.03371       0.339834   -0.000761177    6.99755e-05              0              0
           B1PR          SBEND        77.5687        44.2644        9.22249       0.255897        217.594       -4.35934       0.342757     -0.0319564     -0.0169304              0              0
           O2FL          DRIFT        78.5687        27.7635        7.27839       0.260437        226.404       -4.45128       0.343474     -0.0488881     -0.0169304              0              0
           Q5PR           QUAD        80.0687        12.4517        3.39443       0.273589        208.949        15.5481       0.344547     -0.0782827     -0.0227098              0              0
            OFL          DRIFT        80.5687         9.3087         2.8916       0.280984        193.692        14.9673       0.344942      -0.089638     -0.0227098              0              0
           O3PR          DRIFT        87.3437        16.2875       -3.92169       0.688256        44.2103        7.09652       0.356605      -0.243502     -0.0227098              0              0
    S_CQT06Y4#1          DRIFT        87.7681        19.7979       -4.34855       0.692018        38.3952        6.60342       0.358245      -0.253141     -0.0227098              0              0
         TQ4_PR           QUAD        88.5181        26.1766       -4.07276       0.697237        30.0958        4.57089       0.361774      -0.266374     -0.0124903              0              0
    S_CQT06Y4#2          DRIFT        88.6482        27.2475       -4.16015       0.698012         28.919        4.47626       0.362475      -0.267999     -0.0124903              0              0
         QD4_PR           QUAD        90.4602        33.5049        1.08146       0.707063        21.9119      -0.206985       0.374561      -0.247885      0.0341001              0              0
    S_CQT06Y4#3          DRIFT        91.7639        30.7951       0.997041       0.713524        22.5325      -0.269031       0.383904      -0.203429      0.0341001              0              0
 O_ROTATOR_IP6R          DRIFT        103.888        16.1372       0.211991       0.805041        36.0511      -0.846027       0.453833       0.209989      0.0341001              0              0
    S_CRT06Y5#1          DRIFT        104.311        15.9693       0.184569        0.80924        36.7762      -0.866182       0.455684        0.22443      0.0341001              0              0
         TQ5_PR           QUAD        105.061        15.7288       0.136004       0.816774        38.1022      -0.901876       0.458873       0.250005      0.0341001              0              0
    S_CRT06Y5#2          DRIFT        105.192        15.6943       0.127518       0.818102        38.3394      -0.908113       0.459419       0.254473      0.0341001              0              0
         QF5_PR           QUAD        106.302        17.0585        -1.3963       0.829084        36.6586        2.37275       0.464055       0.305474      0.0585407              0              0
    S_CRT06Y5#3          DRIFT        107.607        20.9963        -1.6219       0.840065        30.7752        2.13679       0.470239       0.381849      0.0585407              0              0
            OFL          DRIFT        108.107        22.6614       -1.70835       0.843713        28.6836        2.04636       0.472917       0.411119      0.0585407              0              0
           B2PR          SBEND        111.807        37.6704       -2.34813       0.863922        16.0161        1.37725        0.50053       0.634516      0.0622152              0              0
            OFL          DRIFT        112.307        40.0617       -2.43459       0.865971        14.6841        1.28682        0.50572       0.665623      0.0622152              0              0
    S_CRT06Y6#1          DRIFT         112.73        42.1547       -2.50782       0.867611        13.6267        1.21022       0.510485        0.69197      0.0622152              0              0
         TQ6_PR           QUAD         113.48        45.3591       -1.74367       0.870334        12.0972       0.839006       0.519811       0.733431      0.0482128              0              0
    S_CRT06Y6#2          DRIFT        113.611        45.8176       -1.75535       0.870792        11.8798       0.820547        0.52155       0.739749      0.0482128              0              0
         QD6_PR           QUAD        114.721        45.1973        2.29573       0.874611         11.326      -0.305369       0.537057        0.75621     -0.0187987              0              0
    S_CRT06Y6#3          DRIFT        116.026        39.4431        2.11473       0.879529        12.2871      -0.431302       0.554694       0.731684     -0.0187987              0              0
         OD5IFL          DRIFT        117.811        32.3339        1.86703        0.88749        14.1349      -0.603644       0.576323       0.698121     -0.0187987              0              0
         DH5_PR          SBEND        124.727        13.1308       0.908831       0.941959        27.1015       -1.27122       0.633803       0.666444     0.00963785              0              0
         OD5IFL          DRIFT        126.513        10.3288       0.660546       0.966456        31.9486       -1.44356       0.643466       0.683653     0.00963785              0              0
     S_CQ06Y7#1          DRIFT        127.817        8.84188       0.479119       0.988252        35.8796       -1.56949         0.6496       0.696227     0.00963785              0              0
         QF7_PR           QUAD        128.747        8.58674      -0.199151        1.00544        36.6207       0.788648       0.653642       0.726597      0.0560223              0              0
     S_CQ06Y7#2          DRIFT        129.241        8.81285      -0.258917        1.01448        35.8529       0.766786        0.65581       0.754251      0.0560223              0              0
          ODSFL          DRIFT        129.758        9.11311      -0.321549        1.02367        35.0714       0.743875       0.658132        0.78323      0.0560223              0              0
         DH6_PR          SBEND        132.708        12.0616      -0.678071        1.06905        31.0687       0.613241       0.672371       0.966336      0.0681391              0              0
          ODSFL          DRIFT        133.225        12.7955      -0.740676        1.07568        30.4461       0.590331       0.675048        1.00158      0.0681391              0              0
     S_CQ06Y8#1          DRIFT        133.718         13.556      -0.800402        1.08165        29.8743       0.568473       0.677653        1.03521      0.0681391              0              0
         QD8_PR           QUAD        134.828        16.1502       -1.57136        1.09369        27.3922        1.63431       0.683784        1.13455       0.111509              0              0
