           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
         TQ5_PR           QUAD        105.061         15.718       0.136585       0.816644        38.1171      -0.901016       0.458876       0.249801      0.0340666    2.32964e-05    1.01283e-07
    S_CRT06Y5#2          DRIFT        105.192        15.6833       0.128092       0.817972        38.3541      -0.907245       0.459421       0.254265      0.0340666    2.33096e-05    1.01283e-07
         QF5_PR           QUAD        106.302        17.0452       -1.39465       0.828963          36.67        2.37472       0.464056       0.305218      0.0584869     2.2291e-05   -1.92176e-06
    S_CRT06Y5#3          DRIFT        107.607        20.9783       -1.62007       0.839952        30.7817         2.1385       0.470238       0.381524      0.0584869    1.97837e-05   -1.92176e-06
            OFL          DRIFT        108.107        22.6416       -1.70646       0.843604        28.6885        2.04797       0.472916       0.410767      0.0584869    1.88229e-05   -1.92176e-06
           B2PR          SBEND        111.807        37.6347       -2.34574       0.863832        16.0119        1.37812        0.50053       0.633966      0.0621614    1.17123e-05   -1.92182e-06
            OFL          DRIFT        112.307        40.0236       -2.43213       0.865882         14.679        1.28759       0.505722       0.665047      0.0621614    1.07514e-05   -1.92182e-06
    S_CRT06Y6#1          DRIFT         112.73        42.1145       -2.50529       0.867524        13.6209        1.21091       0.510489       0.691371      0.0621614     9.9375e-06   -1.92182e-06
         TQ6_PR           QUAD         113.48        45.3157       -1.74191       0.870249        12.0905        0.83968       0.519819       0.732797      0.0481711    8.56583e-06    -1.7405e-06
    S_CRT06Y6#2          DRIFT        113.611        45.7737       -1.75357       0.870707        11.8728       0.821198        0.52156       0.739109      0.0481711    8.33774e-06    -1.7405e-06
         QD6_PR           QUAD        114.721        45.1538        2.29357        0.87453         11.317      -0.304132       0.537076       0.755555     -0.0187824    6.78843e-06   -1.07397e-06
    S_CRT06Y6#3          DRIFT        116.026        39.4051        2.11269       0.879453        12.2749      -0.430078        0.55473       0.731051     -0.0187824    5.38728e-06   -1.07397e-06
         OD5IFL          DRIFT        117.811        32.3029        1.86514       0.887422        14.1184      -0.602437       0.576382       0.697516     -0.0187824    3.46978e-06   -1.07397e-06
         DH5_PR          SBEND        124.727         13.122       0.907531       0.941937        27.0687       -1.27008       0.633934       0.665948     0.00965415   -3.95773e-06   -1.07397e-06
         OD5IFL          DRIFT        126.513        10.3243         0.6594       0.966448        31.9118       -1.44244       0.643608       0.683185     0.00965415   -5.87523e-06   -1.07397e-06
     S_CQ06Y7#1          DRIFT        127.817        8.84026       0.478086       0.988251        35.8399       -1.56838       0.649749        0.69578     0.00965415   -7.27638e-06   -1.07397e-06
         QF7_PR           QUAD        128.747        8.58695      -0.200119        1.00544        36.5814        0.78712       0.653795       0.726151      0.0560095   -8.04424e-06   -5.69413e-07
     S_CQ06Y7#2          DRIFT        129.241        8.81402      -0.259906        1.01448        35.8151       0.765266       0.655966       0.753799      0.0560095   -8.32531e-06   -5.69413e-07
          ODSFL          DRIFT        129.758        9.11532      -0.322559        1.02367        35.0352       0.742365        0.65829       0.782771      0.0560095   -8.61985e-06   -5.69413e-07
         DH6_PR          SBEND        132.708        12.0701      -0.679204        1.06903        31.0413       0.611786       0.672543       0.965838      0.0681263   -1.02993e-05   -5.69413e-07
