           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
      BEGINNING          DRIFT              0    5.71908e-09   -3.08141e-09   -5.18961e-12     8.6783e-11              0              0
           BPM1            BPM              0    5.71908e-09   -3.08141e-09   -5.18961e-12     8.6783e-11              0              0
            IP6          DRIFT              0    5.71908e-09   -3.08141e-09   -5.18961e-12     8.6783e-11              0              0
       PB_SOL_R          PATCH              0    5.72087e-09     -0.0249974   -5.18961e-12     8.6783e-11    1.43008e-10              0
  STAR_DETECT_R          DRIFT              2     -0.0500104     -0.0249974    1.68431e-10     8.6783e-11   -0.000625166              0
       PE_SOL_R          PATCH        1.99938   -4.74521e-10     -0.0249974    1.68376e-10     8.6783e-11   -0.000624971              0
   PE_SOL_R_ROT          PATCH        1.99938   -4.74373e-10   -3.08141e-09    1.68376e-10     8.6783e-11   -0.000624971              0
         O1PR#1          DRIFT        5.29938    -1.0643e-08   -3.08141e-09     4.5476e-10     8.6783e-11   -0.000624971              0
         VKICK2         KICKER        5.29938    -1.0643e-08   -3.08141e-09     4.5476e-10    8.67518e-11   -0.000624971              0
           BPM4            BPM        5.29938    -1.0643e-08   -3.08141e-09     4.5476e-10    8.67518e-11   -0.000624971              0
          Q1APR           MULT        7.09938   -1.78782e-08   -5.13426e-09    5.45217e-10    1.15284e-11   -0.000624971              0
         O1PR#2          DRIFT        7.59938   -2.04453e-08   -5.13426e-09    5.50981e-10    1.15284e-11   -0.000624971              0
          Q1BPR           MULT        8.99938   -2.94863e-08    -7.9534e-09    5.23148e-10    -5.0758e-11   -0.000624971              0
         O1PR#3          DRIFT        10.4994   -4.14164e-08    -7.9534e-09    4.47011e-10    -5.0758e-11   -0.000624971              0
         HKICK2         KICKER        10.4994   -4.14164e-08   -6.12816e-09    4.47011e-10   -5.07874e-11   -0.000624971              0
           Q2PR           MULT        14.9994   -5.50175e-08    3.77047e-10    3.31256e-10   -3.11204e-12   -0.000624971              0
         O1PR#4          DRIFT        37.9994   -4.63454e-08    3.77047e-10    2.59679e-10   -3.11204e-12   -0.000624971              0
         HKICK1         KICKER        37.9994   -4.63454e-08   -4.59907e-10    2.59679e-10   -3.11921e-12   -0.000624971              0
         VKICK1         KICKER        37.9994   -4.63454e-08   -4.59907e-10    2.59679e-10   -3.12637e-12   -0.000624971              0
           Q3PR           MULT        39.4994     -4.672e-08   -3.90195e-11    2.56741e-10   -7.96139e-13   -0.000624971              0
         O1PR#5          DRIFT        39.9994   -4.67395e-08   -3.90195e-11    2.56343e-10   -7.96139e-13   -0.000624971              0
           BPM2            BPM        39.9994   -4.67395e-08   -3.90195e-11    2.56343e-10   -7.96139e-13   -0.000624971              0
