           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
                         DRIFT   4.68171e-310       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
                         DRIFT   9.36342e-310       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
                         DRIFT   1.40451e-309       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
                         DRIFT   1.87268e-309       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
                         DRIFT   2.34085e-309       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
     RHIC$START         MARKER   2.34085e-309       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
         CLOCK6         MARKER   2.34085e-309       0.681979     -0.0568407   -1.96223e-18       0.694713      -0.005679    1.57271e-17              0              0              0              0
         HSTAR1          DRIFT       0.750001        1.59471       -1.16014        0.12774        1.51295        -1.0853       0.130603              0              0              0              0
         AP6P9G         MARKER       0.750001        1.59471       -1.16014        0.12774        1.51295        -1.0853       0.130603              0              0              0              0
         HSTAR2          DRIFT            3.1        15.1713       -4.61712       0.207017        14.5634        -4.4681       0.214053              0              0              0              0
          OX6A6          DRIFT         4.0386        25.1345       -5.99786        0.21467        24.2191        -5.8192       0.222011              0              0              0              0
        AP6P10G         MARKER         4.0386        25.1345       -5.99786        0.21467        24.2191        -5.8192       0.222011              0              0              0              0
          OX6A5          DRIFT         4.3528        29.0487       -6.46006        0.21652         28.018       -6.27149        0.22393              0              0              0              0
        AP6P11G         MARKER         4.3528        29.0487       -6.46006        0.21652         28.018       -6.27149        0.22393              0              0              0              0
          OX6A4          DRIFT        7.14235        76.5373       -10.5637       0.225942        74.2089        -10.287       0.233673              0              0              0              0
        AP6P12G         MARKER        7.14235        76.5373       -10.5637       0.225942        74.2089        -10.287       0.233673              0              0              0              0
          OX6A3          DRIFT         7.4121        82.3434       -10.9605       0.226483        79.8634       -10.6753       0.234231              0              0              0              0
        AP6P13G         MARKER         7.4121        82.3434       -10.9605       0.226483        79.8634       -10.6753       0.234231              0              0              0              0
          OX6A2          DRIFT        7.80262        91.1285        -11.535         0.2272        88.4209       -11.2375       0.234971              0              0              0              0
        AP6P14G         MARKER        7.80262        91.1285        -11.535         0.2272        88.4209       -11.2375       0.234971              0              0              0              0
         OBXFLX          DRIFT        7.99313        95.5767       -11.8152       0.227525        92.7546       -11.5117       0.235305              0              0              0              0
           BPMH          DRIFT        7.99313        95.5767       -11.8152       0.227525        92.7546       -11.5117       0.235305              0              0              0              0
